doc_id,title,year,source,specialty,parent_doc_id,text
doc-001_c0,Hypertension in Diabetes: Initial Pharmacotherapy,2021,Guideline Digest,cardiology,doc-001,"Adults with diabetes and stage 1 hypertension are commonly started on ACE inhibitors or ARBs due to blood pressure control and kidney protection benefits. Lifestyle interventions remain foundational, including sodium reduction and exercise."
doc-002_c0,Atrial Fibrillation and Stroke Prevention,2020,Practice Update,cardiology,doc-002,"For non-valvular atrial fibrillation, anticoagulation is recommended based on CHA2DS2-VASc risk. Direct oral anticoagulants are generally preferred when not contraindicated because they reduce stroke risk and have practical dosing advantages."
doc-003_c0,Adult Major Depressive Disorder Management,2019,Psychiatry Review,psychiatry,doc-003,"First-line pharmacotherapy for many adults with major depressive disorder includes SSRIs due to efficacy and tolerability. Treatment selection should also consider patient preference, comorbidity, and prior response."
doc-004_c0,Type 2 Diabetes Lifestyle and Medication Overview,2022,Endocrine Notes,endocrinology,doc-004,"Initial management includes nutrition optimization, physical activity, and metformin in many patients unless contraindicated. Glycemic targets and therapy escalation are individualized using comorbid conditions and risk profile."
doc-005_c0,Community-Acquired Pneumonia in Adults,2018,Infectious Disease Brief,infectious disease,doc-005,Outpatient treatment for uncomplicated community-acquired pneumonia may include guideline-recommended oral antibiotics with follow-up for worsening symptoms. Local resistance patterns and patient risk factors influence regimen choice.
pmid-41970616_c0,Bleeding and Recurrence in Patients with Venous Thromboembolism with Changing Anticoagulant Treatment Patterns: Findings from the TROLL Registry.,2026,TH open : companion journal to thrombosis and haemostasis,general,pmid-41970616,"Treatment for venous thromboembolism (VTE) has shifted from vitamin K antagonists (VKAs) to direct oral anticoagulants (DOACs), with increased use of indefinite therapy. However, data on bleeding and recurrence outcomes associated with these changes remain limited. To evaluate the risk of major bleeding (MB), clinically relevant nonmajor bleeding (CRNMB), and recurrence with changing treatment patterns. Cancer-free VTE patients were identified in the Venous Thrombosis Registry in Østfold Hospital, Norway, from January 2005 to May 2020, and categorized into period 1 (2005-2012), period 2 (2013-2016), and period 3 (2017-2020). MB and CRNMB rates during anticoagulant treatment, and recurrence rates after anticoagulant discontinuation were assessed. Subhazard ratios (sHRs) were calculated using Fine-Gray analysis for time-period comparisons. Among 3,839 patients (48% female, median age: 67 years; IQR, 54-78), VKA use decreased from 76% in period 1 to 2% in period 3, while DOAC use increased from 1 to 85%. The MB rate ranged from 5.6 (95% confidence interval [CI]: 3.9-6.4) per 100 person-years in period 2 to 3.1 (2.3-4.2) in period 3. The CRNMB rate increased from 5.4 (95% CI: 4.3-6.9) per 100 person-years in period 1 to 7.7 (6.3-9.5) in period 3, sHR: 1.87 (1.36-2.56). Conversely, the recurrence rate decreased from 5.1 (95% CI: 4.6-5.6) per 100 person-years after anticoagulant discontinuation in period 1 to 3.9 (3.2-4.9) in period 3, sHR: 0.51 (0.41-0.65). VTE recurrences after anticoagulant discontinuation have declined, likely due to indefinite treatment in patients at high risk of recurrence, while CRNMB rates have increased over time."
pmid-41970378_c0,Phenotype-informed management of preoperative asymptomatic isolated muscular calf vein thrombosis in patients undergoing primary total knee arthroplasty under standardized thromboprophylaxis: a retrospective cohort study.,2026,Frontiers in medicine,general,pmid-41970378,"Limited evidence exists regarding the management of preoperative screen-detected (by duplex ultrasonography) asymptomatic isolated muscular calf vein thrombosis (MCVT) before total knee arthroplasty (TKA). We evaluated the outcomes when TKA was performed as scheduled, without preoperative therapeutic-dose anticoagulation, using a standardized thromboprophylaxis and enhanced recovery after surgery (ERAS) pathway. Consecutive adults undergoing primary unilateral TKA from 2019 to 2023 received bilateral duplex ultrasonography within 5 days before surgery. The MCVT group comprised patients with asymptomatic isolated gastrocnemius or soleal vein thrombosis, with no involvement of axial deep calf veins or the popliteal vein; the control group had no thrombosis. All patients received a standardized pharmacological prophylaxis regimen (enoxaparin in-hospital followed by rivaroxaban after discharge, total duration 14 days), along with mechanical prophylaxis and early mobilization. The primary outcome was symptomatic venous thromboembolism (VTE) within 90 days. Secondary outcomes included duplex ultrasonography findings on postoperative day 5, bleeding events [defined by International Society on Thrombosis and Hemostasis (ISTH) criteria], Knee Society Score (KSS) at 90 days, and length of stay. Among 454 patients included, 44 (9.7%) had an isolated preoperative MCVT. No patients in either group developed symptomatic VTE or pulmonary embolism (0/44 vs. 0/410, 95% CI 0.0%-8.0% and 0.0%-0.9%). Routine duplex ultrasonography on postoperative day 5 showed no thrombus progression or new deep vein thrombosis (DVT) in either group. No ISTH-defined major bleeding or clinically relevant non-major bleeding (CRNMB) occurred. KSS outcomes and length of stay were similar between groups (all P > 0.05). Under a protocolized ERAS pathway with combined mechanical prophylaxis and standard chemoprophylaxis, we observed no clinically evident thrombotic or bleeding events within 90 days in patients with asymptomatic isolated preoperative MCVT who proceeded to TKA without delay or preoperative therapeutic-dose anticoagulation. These findings are descriptive and hypothesis-generating and cannot exclude rare but clinically important differences; prospective multicenter studies are needed to quantify rare events and clarify generalizability across thrombus profiles and prophylaxis regimens."
pmid-41969543_c0,Recurrent venous thromboembolism: association with thrombin generation and d-dimer.,2026,Research and practice in thrombosis and haemostasis,general,pmid-41969543,"In patients with a first event of venous thromboembolism (VTE) clinicians must decide when to stop anticoagulation, evaluating the risk of recurrent thrombosis. The aim of this study was to evaluate the association between recurrent VTE and d-dimer and thrombin generation. Analyses were performed in 1895 individuals of the Multiple Environmental and Genetic Assessment of Risk Factors for Venous Thrombosis (MEGA) case-control study, followed up for recurrent VTE. The cumulative incidence of recurrent VTE, incidence rates, and hazard ratios were estimated by Cox proportional hazard regression models, to obtain rates and risks of VTE for different levels of d-dimer and thrombin generation. Three classes of risk of recurrent VTE were shown: low risk for patients with low d-dimer and thrombin generation (incidence rate, 1.20/100 patient years; 95% confidence interval [CI], 0.75-1.62), intermediate risk for patients with either high d-dimer and low thrombin generation (2.31; 95% CI, 1.97-2.66) or low d-dimer and high thrombin generation (2.89; 95% CI, 0.06-5.73), and high risk for patients with high d-dimer and thrombin generation (4.70; 95% CI, 3.31-6.09).In the subgroup of patients with unprovoked VTE (n = 539), the 3 levels of risk of recurrent VTE were confirmed: low risk in patients with low d-dimer and thrombin generation (incidence rates per 100 patient years, 1.36; 95% CI, 0.42-2.30); intermediate risk in patients with high d-dimer (3.89; 95% CI, 3.07-4.70) and high risk in patients with high d-dimer and thrombin generation (9.80; 95% CI, 5.28-14.33). The combination of these 2 tests allows identification of patients with high risk of recurrent VTE who could benefit from long-term anticoagulation."
pmid-41969117_c0,Multiple-site venous thromboembolism in acute toxoplasmosis: report of two cases.,2026,The new microbiologica,general,pmid-41969117,"Venous thrombosis triggered by infection (immunothrombosis) is increasingly recognized during viral infections, but it can also occur in bacterial and parasitic infections. Reports of systemic thromboembolism during acute toxoplasmosis are exceptional, usually linked to pre-existing risk factors. We describe two adults with multisite venous thrombosis later diagnosed with primary Toxoplasma gondii infection. The first case was a healthy adult with fever and pulmonary embolism and splanchnic thrombosis. Serology indicated a primary T. gondii infection, and T. gondii DNA was detected in a lymph node showing Piringer-Kuchinka lymphadenitis. The second case involved an immunocompromised adult with fever, seizures, cerebral infarction, cerebral venous sinus and jugular thrombosis, and splanchnic thrombosis. T. gondii serology confirmed recent infection, and Toxoplasma DNA was retrieved in blood. Anticoagulation therapy was administered to both, with specific treatment initiated in the second case due to multi-organ involvement and an impaired immune state. Our findings provide new insights into the association between venous thromboembolism and acute toxoplasmosis and support adding T. gondii testing for febrile patients with unexplained venous thrombosis."
pmid-41967669_c0,Endovascular Intervention Reduces Thrombosis Risk in Retrievable Inferior Vena Cava Filters: A Multicenter Propensity-Matched Analysis.,2026,Annals of vascular surgery,general,pmid-41967669,"Current guidelines recommend retrievable inferior vena cava filters (RIVCF) placement prior to endovascular intervention (EI) for deep vein thrombosis (DVT), yet the impact of EI on RIVCF-related thrombosis/trapped embolus (T/TE) remains controversial. In this prospective registry-based study (ChiCTR1800014252), 2,773 patients undergoing RIVCF placement across 103 Chinese centers (2018-2019) were stratified into EI (n=1,472) and no-EI (n=1,301) groups. Propensity-score matching (1:1) balanced 23 baseline variables (e.g., DVT acuity, anticoagulation). The primary endpoint was RIVCF T/TE (defined as IVC obstruction or thrombus >5 cm above the filter), validated by core-lab adjudicated imaging (CT/angiography). All treating physicians from the 103 participating centers received unified standardized training on the clinical selection criteria for EI and non-EI therapy prior to the study initiation, ensuring consistent inter-center decision-making. The selection of therapeutic modalities was further based on individualized clinical characteristics, including the anatomical location of DVT, thrombus burden, presence of procedural contraindications, and patient's informed consent after full risk-benefit explanation. After matching (n=1,007 per group), EI was associated with a 46% lower risk of RIVCF T/TE (8.9% vs. 14.0%, P<0.001; OR=0.54, 95%CI:0.41-0.71). Symptomatic pulmonary embolism (PE) rates were comparable (1.2% vs. 2.8%, P=0.07). No brand-specific differences in T/TE incidence were observed (P=0.32). This study challenges the necessity of routine RIVCF placement before EI, demonstrating that EI itself reduces thrombosis risk. These findings advocate for selective filter use, potentially sparing patients from device-related complications."
